event_date|repo                                       |total_pushes|total_commits|last_push              |unique_contributors|total_pr_opened|last_pr_opened_number|last_pr_opened_at      |total_pr_closed|last_pr_closed_number|last_pr_closed_at      |
2015-02-04|edx/edx-platform                           |         107|          580|2015-02-04 23:54:40.000|                 25|             11|                 6895|2015-02-04 18:54:43.000|             12|                 6895|2015-02-04 20:57:02.000|
2015-02-13|MountainRoseHerbs/spree                    |         105|          186|2015-02-13 22:45:55.000|                  2|               |                     |                       |              1|                   49|2015-02-13 17:06:33.000|
2015-01-29|edx/edx-platform                           |         104|          490|2015-01-29 23:39:09.000|                 25|             25|                 6830|2015-01-29 23:00:30.000|             19|                 6824|2015-01-29 22:43:35.000|
2015-01-21|Yukineko-mew/projectFinalReport            |         104|          156|2015-01-21 20:32:54.000|                 11|             51|                  361|2015-01-21 20:32:48.000|             50|                  361|2015-01-21 20:32:54.000|
2015-01-15|edx/edx-platform                           |         104|          808|2015-01-15 23:40:58.000|                 32|             28|                 6660|2015-01-15 22:40:30.000|             35|                 6656|2015-01-15 22:20:45.000|
2015-01-01|JTrefzger/SkaSucksM8-L                     |         101|          161|2015-01-01 23:59:11.000|                  1|              1|                    6|2015-01-01 15:44:36.000|              1|                    6|2015-01-01 15:44:43.000|
2015-02-14|TechClubCentral/techclubcentral.github.io  |         100|          101|2015-02-14 23:38:00.000|                  3|              1|                    1|2015-02-14 15:53:11.000|              1|                    1|2015-02-14 15:53:55.000|
2015-02-08|ohnorobo/pokemon                           |         100|          136|2015-02-08 23:47:15.000|                  5|              2|                    3|2015-02-08 23:46:03.000|              2|                    3|2015-02-08 23:47:14.000|
2015-01-27|edx/edx-platform                           |         100|          503|2015-01-27 23:56:54.000|                 31|             19|                 6788|2015-01-27 23:39:15.000|             17|                 6781|2015-01-27 23:56:52.000|
2015-01-19|alexmwaz/alexmwaz.github.io                |          99|          101|2015-01-19 23:54:11.000|                  1|              1|                    2|2015-01-19 04:19:33.000|              1|                    2|2015-01-19 04:20:13.000|
2015-01-19|odoo-dev/odoo                              |          99|         1189|2015-01-19 17:24:01.000|                 35|               |                     |                       |              1|                   41|2015-01-19 06:27:20.000|
2015-01-25|DirtyCrew/dirtygame                        |          99|          266|2015-01-25 22:56:29.000|                  4|             31|                   56|2015-01-25 22:22:07.000|             31|                   56|2015-01-25 22:22:15.000|
2015-01-16|edx/edx-platform                           |          98|          375|2015-01-16 23:15:29.000|                 25|             22|                 6682|2015-01-16 21:33:14.000|             26|                 6680|2015-01-16 22:54:53.000|
2015-02-03|odoo-dev/odoo                              |          98|          809|2015-02-03 21:19:41.000|                 34|              2|                   80|2015-02-03 15:08:36.000|              1|                   77|2015-02-03 10:57:18.000|
