event_date|actor                         |push_count|pr_count|total_commits|last_activity          |
2015-02-15|cmsbuild                      |       109|       7|          257|2015-02-15 23:36:53.000|
2015-02-07|cowtowncoder                  |       109|       1|          143|2015-02-07 22:07:25.000|
2015-01-22|cmsbuild                      |       109|      10|          315|2015-01-22 23:45:35.000|
2015-01-22|haarg                         |       107|       1|          122|2015-01-22 08:04:49.000|
2015-01-12|twinaphex                     |       107|       3|          151|2015-01-12 23:37:19.000|
2015-01-14|cmsbuild                      |       107|       7|          302|2015-01-14 23:31:41.000|
2015-02-08|JTrefzger                     |       107|       2|          158|2015-02-08 23:55:16.000|
2015-02-05|huseynteknsln                 |       107|       1|          117|2015-02-05 22:42:39.000|
2015-01-26|mathiasbynens                 |       106|       1|          126|2015-01-26 21:42:42.000|
2015-01-01|AlexanderDzhoganov            |       106|      51|          235|2015-01-01 23:30:56.000|
2015-01-05|Bhoat                         |       106|       1|          172|2015-01-05 22:49:04.000|
2015-01-14|bors                          |       106|      10|          247|2015-01-14 23:02:18.000|
2015-02-12|keum                          |       106|       1|          125|2015-02-12 23:50:20.000|
2015-02-10|cmsbuild                      |       106|      11|          434|2015-02-10 23:39:16.000|
2015-01-17|cmsbuild                      |       106|       7|          265|2015-01-17 23:42:02.000|
2015-01-31|cmsbuild                      |       105|       2|          211|2015-01-31 23:37:55.000|
2015-01-19|alexcrichton                  |       105|      15|          171|2015-01-19 23:49:01.000|
2015-02-12|brianchandotcom               |       105|      47|          407|2015-02-12 22:29:51.000|
2015-02-15|jaredmorgs                    |       104|       1|           86|2015-02-15 23:55:22.000|
2015-01-15|cmsbuild                      |       104|       2|          203|2015-01-15 23:31:10.000|
2015-01-30|k-okada                       |       104|      22|          340|2015-01-30 15:43:26.000|
2015-01-31|alexcrichton                  |       103|      10|          141|2015-01-31 23:47:57.000|
2015-01-21|suhasj                        |       103|       1|          830|2015-01-21 23:57:37.000|
2015-02-09|alexcrichton                  |       103|       6|          129|2015-02-09 23:51:09.000|
2015-01-16|lefticus                      |       103|       1|          123|2015-01-16 23:55:36.000|
2015-01-19|nettfunky                     |       102|      64|          107|2015-01-19 19:10:00.000|
2015-01-11|alexcrichton                  |       102|       6|          111|2015-01-11 23:57:50.000|
2015-01-24|alexcrichton                  |       102|       2|          140|2015-01-24 23:59:21.000|
2015-01-27|johnotander                   |       102|       3|          108|2015-01-27 22:24:54.000|
2015-01-24|cmsbuild                      |       101|       5|          188|2015-01-24 23:45:32.000|
2015-02-03|JTrefzger                     |       101|       6|          150|2015-02-03 11:28:34.000|
2015-01-02|openstack-gerrit              |       101|       2|          146|2015-01-02 23:24:45.000|
2015-01-19|Divyanshu666                  |       101|       2|          121|2015-01-19 14:21:21.000|
2015-01-25|alexcrichton                  |       101|       7|          102|2015-01-25 23:50:40.000|
2015-01-01|JTrefzger                     |       101|       2|          161|2015-01-01 23:59:11.000|
2015-01-28|portableant                   |       100|      94|          190|2015-01-28 23:57:40.000|
2015-01-22|tmcw                          |       100|       2|          106|2015-01-22 23:56:56.000|
2015-02-05|yubeijia                      |        99|       2|          102|2015-02-05 23:40:00.000|
2015-02-05|brianchandotcom               |        99|      38|          316|2015-02-05 23:54:54.000|
2015-01-26|emmanuel-keller               |        99|      16|          114|2015-01-26 17:06:56.000|
2015-02-08|lutfifadlan                   |        99|       1|           99|2015-02-08 07:25:58.000|
2015-01-19|alexmwaz                      |        99|       2|          101|2015-01-19 23:54:11.000|
2015-01-17|alexcrichton                  |        98|       3|          101|2015-01-17 23:42:55.000|
2015-01-15|danberindei                   |        98|       5|          475|2015-01-15 17:13:34.000|
2015-01-13|alexcrichton                  |        97|      11|          104|2015-01-13 23:20:13.000|
2015-01-19|raphink                       |        97|       3|          123|2015-01-19 15:37:24.000|
2015-01-08|raphink                       |        97|       7|          118|2015-01-08 16:40:23.000|
2015-02-12|gvwilson                      |        97|      52|          805|2015-02-12 22:27:50.000|
2015-01-14|alexcrichton                  |        97|      15|          140|2015-01-14 23:10:41.000|
2015-01-14|BLooperZ                      |        97|       2|           99|2015-01-14 23:59:54.000|
2015-02-10|mmoreram                      |        97|      14|          143|2015-02-10 17:50:58.000|
2015-01-25|cmsbuild                      |        97|       2|          172|2015-01-25 23:31:20.000|
2015-01-16|ClarkZinzow                   |        96|       8|          113|2015-01-16 23:57:59.000|
2015-01-11|eat-sleep-code                |        96|       2|           96|2015-01-11 23:26:17.000|
2015-01-29|brlacquement                  |        95|       8|           98|2015-01-29 14:50:06.000|
2015-02-01|talk2ankan                    |        95|       1|           96|2015-02-01 22:06:39.000|
2015-01-12|Hitakashi                     |        95|      12|          136|2015-01-12 06:55:23.000|
2015-01-04|jeff1evesque                  |        94|      28|          331|2015-01-04 23:15:45.000|
2015-01-01|alexcrichton                  |        94|       5|          176|2015-01-01 23:54:59.000|
2015-02-15|8cH9azbsFifZ                  |        94|       1|          129|2015-02-15 13:43:26.000|
2015-02-15|Zame012                       |        94|       1|           95|2015-02-15 16:01:52.000|
2015-02-08|alexcrichton                  |        93|       8|           99|2015-02-08 22:51:47.000|
2015-02-08|GrannyCookies                 |        93|       1|           94|2015-02-08 21:13:17.000|
2015-01-03|prout-test-bot                |        93|     170|          186|2015-01-03 16:47:24.000|
2015-01-18|Jonnybl                       |        92|       2|           92|2015-01-18 23:35:18.000|
2015-01-18|sargeant45                    |        92|       2|           92|2015-01-18 22:02:03.000|
2015-01-27|soonhokong                    |        92|       3|          138|2015-01-27 23:31:28.000|
2015-01-22|alexcrichton                  |        92|       5|          132|2015-01-22 23:49:29.000|
2015-01-09|cmsbuild                      |        92|       5|          330|2015-01-09 23:32:44.000|
2015-01-21|michalbe                      |        91|      12|          133|2015-01-21 18:14:53.000|
2015-01-17|mitar                         |        90|       3|          189|2015-01-17 20:44:44.000|
2015-01-12|cmsbuild                      |        90|       9|          303|2015-01-12 23:31:29.000|
2015-01-23|joshuahouston                 |        90|       8|          104|2015-01-23 18:33:54.000|
2015-02-10|raphink                       |        90|       3|          102|2015-02-10 22:45:23.000|
2015-01-20|alexcrichton                  |        89|      22|          121|2015-01-20 23:01:09.000|
2015-01-26|xphnx                         |        89|       1|           89|2015-01-26 18:34:41.000|
2015-02-06|cmsbuild                      |        88|       5|          223|2015-02-06 23:41:02.000|
2015-02-02|pmpinson                      |        88|       4|           93|2015-02-02 21:43:40.000|
2015-02-08|cralor                        |        88|      18|           99|2015-02-08 18:06:30.000|
2015-02-09|gitter-badger                 |        87|      87|           87|2015-02-09 23:31:30.000|
2015-02-10|Redew                         |        87|      75|          137|2015-02-10 22:03:24.000|
2015-02-01|twinaphex                     |        87|      25|          135|2015-02-01 23:54:44.000|
2015-01-13|JTrefzger                     |        87|       4|          233|2015-01-13 23:55:53.000|
2015-02-02|alexcrichton                  |        86|       9|          110|2015-02-02 23:27:11.000|
2015-02-09|jihoonl                       |        86|      11|          308|2015-02-09 09:47:10.000|
2015-02-13|brianchandotcom               |        86|      44|          443|2015-02-13 23:56:23.000|
2015-01-28|sebmck                        |        86|       2|          158|2015-01-28 23:45:09.000|
2015-01-05|pimpmaneaton                  |        86|       1|          163|2015-01-05 22:41:55.000|
2015-01-05|mcanevet                      |        86|       3|           91|2015-01-05 18:39:03.000|
2015-02-14|cmsbuild                      |        86|       2|          218|2015-02-14 23:35:46.000|
2015-01-02|Pomax                         |        86|       1|           89|2015-01-02 20:32:04.000|
2015-01-10|benbalter                     |        86|       7|          139|2015-01-10 22:57:04.000|
2015-01-16|xinwendashibaike              |        86|       1|           86|2015-01-16 08:51:37.000|
2015-02-09|johnjenkinson                 |        85|       2|           86|2015-02-09 20:42:23.000|
2015-02-10|daim2k5                       |        85|      78|          137|2015-02-10 16:06:39.000|
2015-02-11|therebelrobot                 |        85|       5|           75|2015-02-11 20:18:17.000|
2015-02-11|lishiyu                       |        85|       1|           66|2015-02-11 15:29:44.000|
2015-01-15|alexcrichton                  |        85|       8|          125|2015-01-15 23:44:32.000|
2015-02-12|gitter-badger                 |        85|      84|           85|2015-02-12 23:51:18.000|
2015-01-23|jeff1evesque                  |        85|      42|          281|2015-01-23 21:48:04.000|
2015-01-23|JasonBoyles                   |        84|       1|           92|2015-01-23 23:59:02.000|
2015-02-02|cmsbuild                      |        84|       8|          191|2015-02-02 23:25:55.000|
2015-01-29|mcanevet                      |        84|       3|          109|2015-01-29 15:29:48.000|
2015-01-20|mietek                        |        84|       3|          112|2015-01-20 23:53:23.000|
2015-01-23|elisaapra                     |        83|       2|           83|2015-01-23 22:28:37.000|
2015-01-08|HalowTV                       |        83|       5|          115|2015-01-08 23:51:04.000|
2015-02-09|syuilo                        |        83|       2|          108|2015-02-09 23:53:59.000|
2015-02-05|gitter-badger                 |        83|      82|           83|2015-02-05 23:53:13.000|
2015-02-05|jaredmorgs                    |        83|       4|           83|2015-02-05 23:24:11.000|
2015-01-31|DonPrus                       |        83|       2|           87|2015-01-31 20:22:06.000|
